"words","avg_points","total_points","quantity"
"treading",91.75,1101,12
"top-of-the-line",91.75,1101,12
"mirabelles",91.75,1101,12
"chorus",91.75,1101,12
"attention-grabbing",91.739,2110,23
"hyland",91.733,1376,15
"eyrie",91.733,1376,15
"balm-like",91.733,1376,15
"youthfully",91.731,19447,212
"reward",91.731,10916,119
"eiswein",91.731,2385,26
"hands",91.728,9448,103
"incredibly",91.725,23665,258
"santo",91.724,2660,29
"filings",91.72,2293,25
"shimmer",91.714,2568,28
"marimar",91.714,1284,14
"awesomely",91.714,1284,14
"sumptuous",91.71,17058,186
"atlas",91.707,6878,75
"terrifically",91.704,2476,27
"sacrificing",91.704,2476,27
"glints",91.704,2476,27
"infancy",91.7,1834,20
"winderlea",91.7,917,10
"ribald",91.7,917,10
"pearmain",91.7,917,10
"gloria",91.7,917,10
"constitutes",91.7,917,10
"achievement",91.692,3576,39
"hovering",91.692,1192,13
"minute",91.69,2659,29
"condrieu",91.69,2659,29
"wathen",91.688,1467,16
"billy",91.688,1467,16
"miso",91.686,3209,35
"notion",91.685,10177,111
"beloved",91.682,2017,22
"glory",91.676,3392,37
"till",91.675,3667,40
"auslese",91.667,9900,108
"ponzi",91.667,1650,18
"believes",91.667,1100,12
"meridian",91.667,825,9
"garys",91.667,825,9
"choose",91.667,825,9
"resonant",91.653,4491,49
"ribbon",91.652,2108,23
"impressive",91.651,167630,1829
"expertly",91.651,9990,109
"diamond",91.649,5224,57
"heights",91.649,3391,37
"léoville",91.647,1558,17
"jordan",91.647,1558,17
"truffles",91.643,2566,28
"reserves",91.643,1283,14
"prized",91.643,1283,14
"faiveley",91.643,1283,14
"coal",91.643,1283,14
"beautifully",91.638,130767,1427
"memorable",91.637,15670,171
"compellingly",91.636,2016,22
"nose-tickling",91.632,1741,19
"kent",91.632,1741,19
"seamless",91.63,24740,270
"superstar",91.625,1466,16
"masterfully",91.625,1466,16
"wonderful",91.624,55616,607
"freestone",91.619,1924,21
"singing",91.618,3115,34
"iconic",91.615,9528,104
"killer",91.615,1191,13
"tahitian",91.611,1649,18
"sly",91.611,1649,18
"goldridge",91.611,1649,18
"70-year-old",91.611,1649,18
"brie",91.609,2107,23
"enormous",91.607,17497,191
"union",91.6,1374,15
"stoney",91.6,1374,15
"harlan",91.6,1374,15
"ultra-refined",91.6,916,10
"swiss",91.6,916,10
"north-facing",91.6,916,10
"masters",91.6,916,10
"loach",91.6,916,10
"forest-like",91.6,916,10
"kalamata",91.596,4763,52
"supreme",91.593,2473,27
"impresses",91.591,18135,198
"facing",91.591,2015,22
"steve",91.588,9342,102
"youthfulness",91.588,1557,17
"tiny-production",91.583,2198,24
"tapestry",91.583,2198,24
"haut-brion",91.583,2198,24
"editors",91.583,2198,24
"cornas",91.583,2198,24
"scarlet",91.583,1099,12
"martinelli",91.583,1099,12
"disgorgement",91.583,1099,12
"disgorged",91.581,2839,31
"seasonings",91.58,4579,50
"immensely",91.578,10623,116
"intricately",91.577,2381,26
"premier",91.575,24359,266
"weave",91.571,7051,77
"top-end",91.571,3205,35
"paints",91.571,1282,14
"guarantee",91.571,1282,14
"barolos",91.571,1282,14
"afterward",91.571,1282,14
"exemplary",91.566,4853,53
"deepen",91.565,2106,23
"mesa",91.562,1465,16
"multifaceted",91.559,3113,34
"resist",91.557,7233,79
"lovage",91.556,2472,27
"grown-up",91.556,2472,27
"upward",91.556,824,9
"underpin",91.556,824,9
"system",91.556,824,9
"olivos",91.556,824,9
"now-2020",91.556,824,9
"mantone",91.556,824,9
"lorenzo",91.556,824,9
"expertise",91.556,824,9
"clos",91.551,9796,107
"gevrey-chambertin",91.55,1831,20
"duckhorn",91.55,1831,20
"terroir-driven",91.548,3845,42
"wilds",91.545,1007,11
"bravo",91.545,1007,11
"ageworthy",91.543,23435,256
"oakville",91.543,8422,92
"tiers",91.543,4211,46
"impressively",91.537,29475,322
"loess",91.536,2563,28
"sample",91.533,48604,531
"supremely",91.533,6865,75
"meadow",91.533,1373,15
"guided",91.533,1373,15
"helena",91.531,5858,64
"saint-julien",91.529,3112,34
"latour",91.529,1556,17
"sensuous",91.528,4851,53
"impeccably",91.527,11807,129
"detailed",91.526,17573,192
"marasca",91.526,13912,152
"ripest",91.526,7139,78
"champoux",91.526,5217,57
"sparks",91.524,1922,21
"least",91.52,120440,1316
"walled",91.519,2471,27
"pitch",91.519,2471,27
"rick",91.517,2654,29
"powerhouse",91.516,8694,95
"cohesive",91.515,3020,33
"fantastic",91.513,14276,156
"changes",91.511,4301,47
"parcel",91.5,20130,220
"cellared",91.5,9333,102
"coiled",91.5,7503,82
"dramatically",91.5,7137,78
"petaluma",91.5,5124,56
"louis",91.5,4575,50
"laser-focused",91.5,2562,28
"rack",91.5,2379,26
"yum",91.5,1647,18
"importance",91.5,1647,18
"beerenauslese",91.5,1647,18
"archery",91.5,1281,14
"testifies",91.5,915,10
"poles",91.5,915,10
"multidimensional",91.5,915,10
"combed",91.5,915,10
"barolo",91.498,39527,432
"brilliant",91.496,23972,262
"discover",91.486,3202,35
"now–2025",91.483,16284,178
