"words","avg_points","total_points","quantity"
"pismo",89.273,982,11
"fraîche",89.273,982,11
"bitter-chocolate",89.273,982,11
"under",89.272,59009,661
"clementine",89.271,5267,59
"yakima",89.27,6606,74
"stops",89.27,5624,63
"fig",89.269,92393,1035
"house",89.269,20889,234
"saint",89.268,3660,41
"sustain",89.267,4017,45
"possibility",89.267,2678,30
"incorporates",89.267,2678,30
"86%",89.267,2678,30
"wallop",89.267,1339,15
"vanilla-bean",89.267,1339,15
"niven",89.267,1339,15
"emphasized",89.267,1339,15
"5%",89.266,67217,753
"key",89.266,28833,323
"surprise",89.265,14818,166
"flush",89.264,17585,197
"tendencies",89.263,1696,19
"baby",89.262,11247,126
"flair",89.261,10265,115
"sorbet",89.261,8212,92
"figure",89.261,6159,69
"sponge",89.261,2053,23
"altogether",89.26,6516,73
"loads",89.257,54804,614
"mature",89.256,250362,2805
"displays",89.256,59891,671
"earthiness",89.256,39362,441
"braced",89.255,4909,55
"lanolin",89.252,13477,151
"white-peach",89.25,5712,64
"girth",89.25,3213,36
"flake",89.25,2142,24
"counterparts",89.25,2142,24
"plumeria",89.25,1785,20
"now-2015",89.25,1785,20
"melange",89.25,1428,16
"angel",89.25,1428,16
"veritable",89.25,1071,12
"valencia",89.25,1071,12
"umami-rich",89.25,1071,12
"tokaj",89.25,1071,12
"nobility",89.25,1071,12
"louder",89.25,1071,12
"freshly-cut",89.25,1071,12
"dusty-textured",89.25,1071,12
"contribution",89.25,1071,12
"153%",89.25,1071,12
"underneath",89.249,30523,342
"55%",89.247,13030,146
"pastry",89.245,37572,421
"hang",89.245,8746,98
"considered",89.245,4730,53
"lined",89.244,3659,41
"unique",89.243,43372,486
"columbia",89.242,11423,128
"mascalese",89.242,8121,91
"trick",89.242,2945,33
"year",89.241,171165,1918
"question",89.241,7050,79
"require",89.24,6693,75
"earthen",89.24,2231,25
"love",89.239,28735,322
"arise",89.239,11958,134
"penetrate",89.239,7853,88
"egg",89.239,4105,46
"fermented",89.238,83884,940
"stuffing",89.238,13475,151
"ocean",89.237,12047,135
"presented",89.237,8299,93
"action",89.237,3391,38
"boosted",89.236,10976,123
"sunshine",89.236,6425,72
"hazelnut",89.235,47116,528
"vine",89.235,25432,285
"introduces",89.235,7228,81
"oak-derived",89.235,4551,51
"pouch",89.235,1517,17
"positively",89.235,1517,17
"fringes",89.235,1517,17
"berry/cherry",89.235,1517,17
"liquid",89.234,9548,107
"outside",89.234,8388,94
"baking-spice",89.233,9191,103
"stronger",89.233,3837,43
"representative",89.233,3837,43
"effort",89.231,71563,802
"wood-fermented",89.231,1160,13
"venerable",89.231,1160,13
"throttle",89.231,1160,13
"rows",89.231,1160,13
"pierces",89.231,1160,13
"padded",89.231,1160,13
"larger-production",89.231,1160,13
"expressing",89.229,4283,48
"mousse",89.228,57820,648
"picked",89.228,12135,136
"evidence",89.228,7049,79
"liveliness",89.227,9815,110
"principal",89.227,1963,22
"check",89.226,16596,186
"bourbon",89.226,4729,53
"blackberry",89.225,1132180,12689
"few",89.225,204503,2292
"notice",89.225,9904,111
"nod",89.224,5978,67
"well-managed",89.224,4372,49
"ripe",89.223,2407785,26986
"fermentation",89.222,44522,499
"putting",89.222,6424,72
"fifth",89.222,1606,18
"“super",89.222,803,9
"tosses",89.222,803,9
"reflections",89.222,803,9
"menu",89.222,803,9
"laroche",89.222,803,9
"higher-end",89.222,803,9
"fine-textured",89.222,803,9
"fewer",89.222,803,9
"charbroiled",89.222,803,9
"car",89.222,803,9
"amid",89.218,17219,193
"pastries",89.217,2052,23
"blossoms",89.215,43894,492
"mellow",89.214,76724,860
"extremely",89.214,64234,720
"proportions",89.214,7494,84
"53%",89.214,4996,56
"sips",89.214,3747,42
"saumur",89.214,1249,14
"pockets",89.214,1249,14
"lalande",89.214,1249,14
"range",89.213,59059,662
"push",89.213,15880,178
"garnet",89.213,15880,178
"started",89.213,4193,47
"serves",89.213,4193,47
"offered",89.213,4193,47
"lie",89.212,11776,132
"avas",89.211,1695,19
"part",89.21,59057,662
"coating",89.21,23373,262
"mix",89.209,229981,2578
"permeate",89.209,3836,43
"dried",89.208,701976,7869
"cave",89.208,2141,24
"wants",89.207,12935,145
"gains",89.207,12489,140
"who",89.206,66369,744
"feathery",89.206,5620,63
"alder",89.206,3033,34
"anisette",89.205,10437,117
"crust",89.204,32292,362
"tertiary",89.203,5263,59
"coffee",89.202,365816,4101
"burly",89.201,17305,194
"benefit",89.2,41478,465
"drinkability",89.2,11150,125
"laurent",89.2,4014,45
"proteins",89.2,2676,30
"shut",89.2,2230,25
"concoction",89.2,2230,25
"smattering",89.2,1784,20
"sauvignon-dominated",89.2,1338,15
"limned",89.2,1338,15
"tupungato",89.2,892,10
"styria",89.2,892,10
"pain",89.2,892,10
"disappointed",89.2,892,10
"daughters",89.2,892,10
"cortona",89.2,892,10
"citrus-fresh",89.2,892,10
"14th",89.2,892,10
"additions",89.198,7225,81
"holds",89.195,49860,559
"lurton",89.195,3657,41
"mixture",89.194,12844,144
"harder",89.194,3211,36
"lime-zest",89.194,2765,31
"35%",89.193,21763,244
"keeps",89.192,79827,895
"theyre",89.192,14895,167
"mélange",89.192,13022,146
"enhance",89.192,6511,73
"barrique",89.192,2319,26
"pepper",89.191,882722,9897
"perfumed",89.19,256866,2880
"adds",89.19,155280,1741
"better",89.19,144310,1618
"traction",89.189,4727,53
"pliable",89.188,6154,69
"creeps",89.188,2854,32
"t",89.188,1427,16
"fulfilling",89.188,1427,16
"black-fruit",89.187,97749,1096
"cedary",89.187,14805,166
"mushroomy",89.187,10970,123
"moves",89.187,8116,91
"combo",89.187,6689,75
"provides",89.186,85351,957
"amber",89.186,6243,70
"creosote",89.186,3835,43
"entering",89.185,2408,27
"alsatian",89.185,2408,27
"mint",89.184,224923,2522
"harvest",89.184,15964,179
"espresso",89.182,213412,2393
"soléna",89.182,981,11
"pfalz",89.182,981,11
"buys",89.182,981,11
"bennett",89.182,981,11
"cola",89.181,369297,4141
"offering",89.181,224202,2514
"roots",89.181,7402,83
"full",89.18,900007,10092
"blackberries",89.18,197712,2217
"leaf",89.18,126190,1415
"whose",89.18,29697,333
"nonetheless",89.18,23722,266
"been",89.179,90695,1017
"lasting",89.179,67865,761
"presents",89.179,39863,447
"oomph",89.179,3478,39
"tannins",89.178,2750967,30848
"bacon",89.177,87572,982
"dusting",89.177,22651,254
"really",89.176,98540,1105
"meunier",89.176,11682,131
"territory",89.176,9096,102
"plentiful",89.176,7580,85
"bolstering",89.176,1516,17
"decanter",89.175,8650,97
"stop",89.175,5083,57
"when",89.174,49581,556
"musque",89.174,2051,23
"smoky",89.173,388794,4360
"lamb",89.173,38701,434
"calling",89.172,5707,64
"nuttiness",89.17,8917,100
"conditions",89.17,7847,88
"denying",89.17,4726,53
"alicante",89.167,22470,252
"elevate",89.167,4280,48
"stock",89.167,3745,42
"jamminess",89.167,3210,36
"spicier",89.167,2675,30
"heads",89.167,2675,30
"forming",89.167,2140,24
"lilt",89.167,1605,18
"likewise",89.167,1605,18
"cleanses",89.167,1605,18
"white-tea",89.167,1070,12
"shedding",89.167,1070,12
"rooted",89.167,1070,12
"regime",89.167,1070,12
"mirroring",89.167,1070,12
"gin-like",89.167,1070,12
"herb",89.166,565314,6340
"riper",89.165,50646,568
"darkness",89.165,7579,85
"pith",89.164,60810,682
"smaller",89.164,20686,232
"cooling",89.164,4904,55
"cocoa",89.163,148010,1660
"olive",89.162,144888,1625
"43%",89.162,7133,80
"raspberries",89.161,138288,1551
"refers",89.161,5528,62
"airy",89.16,11145,125
"repeated",89.16,2229,25
"negociant",89.16,2229,25
"envelop",89.16,2229,25
"camp",89.16,2229,25
"backdrop",89.159,37625,422
"gala",89.159,7846,88
"variable",89.158,1694,19
"boundaries",89.158,1694,19
"cranberry",89.157,278347,3122
"capped",89.157,6241,70
"flash",89.156,8559,96
"wisteria",89.156,6865,77
"sink",89.156,2853,32
"secondary",89.155,20149,226
"area",89.154,33611,377
"momentum",89.154,6954,78
"silvaner",89.154,2318,26
"tokaji",89.154,1159,13
"sleeve",89.154,1159,13
"milder",89.154,1159,13
"malted",89.154,1159,13
"folding",89.154,1159,13
"flora",89.154,1159,13
"diminish",89.154,1159,13
"conversation",89.154,1159,13
"carmenere",89.154,1159,13
"allotment",89.154,1159,13
"actor",89.154,1159,13
"gripping",89.153,19792,222
"juicy",89.152,869236,9750
"strongly",89.152,68736,771
"wave",89.152,22823,256
"sur",89.152,7043,79
"generations",89.152,2942,33
"immediate",89.151,33075,371
"field",89.151,23625,265
"pervade",89.15,5349,60
"classified",89.15,1783,20
"all-around",89.15,1783,20
"rim",89.149,12570,141
"pressed",89.148,83977,942
"contrast",89.148,29597,332
"curd",89.148,21663,243
"bank",89.148,7221,81
"plan",89.148,2407,27
"labels",89.148,2407,27
"dressed",89.148,2407,27
"accentuating",89.148,2407,27
"spice",89.147,1672225,18758
"group",89.147,9717,109
"peers",89.147,3031,34
"enjoyed",89.145,29596,332
"cinnamon-spice",89.145,5527,62
"contrasts",89.143,12480,140
"crowd-pleaser",89.143,3744,42
"orange-rind",89.143,2496,28
"79%",89.143,2496,28
"count",89.143,1872,21
"well-behaved",89.143,1248,14
"ticket",89.143,1248,14
"texas",89.143,1248,14
"overlays",89.143,1248,14
"hungary",89.143,1248,14
"employs",89.143,1248,14
"camphor",89.142,10073,113
"characterizes",89.14,8290,93
"overtones",89.139,32001,359
"mingle",89.138,49204,552
"preserves",89.138,32892,369
"lending",89.138,18095,203
"wood",89.137,544716,6111
"bear",89.137,4546,51
"smooth",89.136,627872,7044
"lends",89.136,51610,579
"bigger",89.136,11142,125
"weightier",89.136,1961,22
"linear",89.135,78974,886
"varietals",89.133,4011,45
"begging",89.133,2674,30
"wintertime",89.133,1337,15
"weissburgunder",89.133,1337,15
"rude",89.133,1337,15
"lemon-pith",89.133,1337,15
"cranberry-filled",89.133,1337,15
"cousin",89.133,1337,15
"compacted",89.133,1337,15
"maraschino",89.132,6774,76
"oregon",89.131,40911,459
"driven",89.131,24511,275
"mouth-filling",89.131,17737,199
"kiss",89.13,14350,161
"step",89.13,11676,131
"eye",89.13,10963,123
"michael",89.13,6150,69
"pleasing",89.129,65777,738
"amounts",89.129,38058,427
"integrity",89.129,10339,116
"blaufränkisch",89.129,7576,85
"names",89.129,2763,31
"foreground",89.129,2763,31
"rendition",89.128,10428,117
"reminder",89.128,4189,47
"chock",89.128,4189,47
"cherry-pie",89.128,4189,47
"roast",89.127,28164,316
"yogurt",89.127,5615,63
"11%",89.126,16934,190
"yeastiness",89.126,7754,87
"center",89.125,61407,689
"bread",89.125,59892,672
"jumps",89.125,4278,48
"spotlight",89.125,3565,40
"resulted",89.125,3565,40
"costs",89.125,2139,24
"milk-chocolate",89.125,1426,16
"comparatively",89.125,1426,16
"lift",89.124,106682,1197
"couple",89.123,28252,317
"save",89.122,4367,49
"saltiness",89.121,8110,91
"molasses",89.12,33509,376
"give",89.119,511188,5736
"blossom",89.119,138313,1552
"fill",89.118,44381,498
"undertow",89.118,4545,51
"possibilities",89.118,3030,34
"vibrance",89.118,1515,17
"maduro",89.118,1515,17
"christopher",89.118,1515,17
"adventurous",89.118,1515,17
"bone",89.117,56322,632
"14%",89.116,22368,251
"steeped",89.116,11496,129
"sizzles",89.114,3119,35
"half",89.113,50349,565
"appear",89.113,36982,415
"undergrowth",89.113,4723,53
"46%",89.113,4723,53
"serving",89.112,7129,80
"voluminous",89.111,4812,54
"appearances",89.111,2406,27
"pouilly-fumé",89.111,1604,18
"lemon-drop",89.111,1604,18
"finer",89.111,1604,18
"al",89.111,1604,18
"varies",89.111,802,9
"starched",89.111,802,9
"spike",89.111,802,9
"sardinian",89.111,802,9
"ruby-garnet",89.111,802,9
"pose",89.111,802,9
"liter",89.111,802,9
"high-intensity",89.111,802,9
"claims",89.111,802,9
"bronze",89.111,802,9
"pushes",89.11,13010,146
"yellow",89.109,364100,4086
"nearly",89.108,37782,424
"understated",89.108,14792,166
"cahors",89.108,8287,93
"sun-baked",89.108,5792,65
"level",89.107,50791,570
"brandied",89.107,7485,84
"bones",89.107,4990,56
"co",89.107,2495,28
"game",89.106,80730,906
"warmer",89.105,22989,258
"settling",89.105,6772,76
"yarra",89.105,1693,19
"hits",89.104,41255,463
"bordeaux-style",89.104,36711,412
"closes",89.103,62105,697
"simply",89.103,32077,360
"meal",89.103,11227,126
"big-boned",89.103,8643,97
"castle",89.103,5168,58
"works",89.102,26107,293
"straight",89.102,19246,216
"cured",89.101,54530,612
"single-varietal",89.1,1782,20
"lighten",89.1,1782,20
"discreet",89.1,1782,20
"thermenregion",89.1,891,10
"mulling",89.1,891,10
"compare",89.1,891,10
"chunkier",89.1,891,10
"chinon",89.1,891,10
"cabernet-merlot",89.1,891,10
"benefitted",89.1,891,10
"accomplishes",89.1,891,10
"based",89.099,41609,467
"clear",89.099,31363,352
"45%",89.099,17998,202
"tinta",89.099,12563,141
"effusive",89.099,8108,91
"show",89.098,305962,3434
"vital",89.098,15503,174
"typically",89.096,13008,146
"peppered",89.096,9266,104
"tight",89.095,452602,5080
"cookie",89.095,15948,179
"tastings",89.095,1871,21
"lime-skin",89.095,1871,21
"juicier",89.095,1871,21
"deep-colored",89.095,1871,21
"crozes-hermitage",89.095,1871,21
"counter",89.095,1871,21
"blanketed",89.095,1871,21
"vibe",89.091,4900,55
"carbonic",89.091,2940,33
"spirited",89.091,1960,22
"terroirs",89.091,980,11
"knock",89.091,980,11
"facade",89.091,980,11
"embraced",89.091,980,11
"cheeky",89.091,980,11
"bees",89.091,980,11
"accumulate",89.091,980,11
"yielding",89.089,20045,225
"lurking",89.089,10958,123
"entice",89.089,7038,79
"exuberantly",89.088,6058,68
"noir-based",89.087,2049,23
"lbv",89.087,2049,23
"delivery",89.086,6236,70
"augmented",89.086,5167,58
"ancient",89.085,8374,94
"dark-colored",89.085,5256,59
"cost",89.085,4187,47
"unlike",89.083,6414,72
"prepare",89.083,3207,36
"fuel",89.083,3207,36
"half-and-half",89.083,2138,24
"conclusion",89.083,2138,24
"simmers",89.083,1069,12
"pressing",89.083,1069,12
"meters",89.083,1069,12
"greatly",89.083,1069,12
"fragrantly",89.083,1069,12
"assert",89.083,1069,12
"tannin",89.082,174155,1955
"throughout",89.082,83915,942
"temecula",89.082,4365,49
"steeliness",89.082,4365,49
"tastebuds",89.081,3296,37
"headiness",89.08,2227,25
"add",89.079,157848,1772
"rounder",89.079,8997,101
"controlled",89.078,14876,167
"led",89.078,5701,64
"flesh",89.077,52377,588
"spot",89.077,17459,196
"phase",89.077,3474,39
"shortly",89.077,2316,26
"underlining",89.077,1158,13
"truffled",89.077,1158,13
"responsible",89.077,1158,13
"mazuelo",89.077,1158,13
"lime-peel",89.077,1158,13
"chewy",89.076,180914,2031
"being",89.076,96915,1088
"charm",89.075,28504,320
"versions",89.075,5968,67
"refreshes",89.075,5968,67
"addition",89.073,31710,356
"turkish",89.073,3652,41
"limit",89.073,3652,41
"itll",89.071,13806,155
"fuller",89.071,11312,127
"bracingly",89.071,2494,28
"ever-so-slightly",89.071,1247,14
"europvin",89.071,1247,14
"effusively",89.071,1247,14
"cannan",89.071,1247,14
"describe",89.07,10154,114
"aside",89.069,5166,58
"below",89.068,10510,118
"sends",89.067,4008,45
"directly",89.067,4008,45
"casa",89.067,2672,30
"league",89.067,1336,15
"featherlight",89.067,1336,15
"significant",89.066,9441,106
"beeswax",89.065,26007,292
"sprinkling",89.065,9530,107
"intent",89.065,2761,31
"zest",89.064,276455,3104
"deliver",89.062,18525,208
"imparts",89.062,14250,160
"tightly-knit",89.062,1425,16
"ponder",89.062,1425,16
"case",89.061,26273,295
"space",89.061,4364,49
"nobile",89.061,2939,33
"autumn",89.06,4453,50
"$20",89.06,4453,50
"mossy",89.059,12112,136
"anyone",89.059,6056,68
"techniques",89.059,1514,17
"resembling",89.059,1514,17
"delle",89.059,1514,17
"custard",89.057,31170,350
"fern",89.057,3117,35
"persisting",89.056,1603,18
"oaking",89.056,1603,18
"cuttings",89.056,1603,18
"brings",89.055,213731,2400
"flowers",89.054,197968,2223
"coconut",89.054,102412,1150
"given",89.054,91904,1032
"gold",89.054,31525,354
"whistle",89.054,3295,37
"roriz",89.053,8460,95
"z",89.053,1692,19
"trim",89.053,1692,19
"obispo",89.053,1692,19
"broom",89.052,17187,193
"whiff",89.051,218174,2450
"blanket",89.051,6946,78
"mellows",89.051,3473,39
"playfully",89.05,1781,20
"lemon-peel",89.05,1781,20
"cannot",89.05,1781,20
"fragrant",89.049,172220,1934
"tucked",89.048,1870,21
"gobs",89.048,1870,21
"represented",89.047,3829,43
"shiraz",89.046,52715,592
"distinction",89.045,1959,22
"remaining",89.044,32323,363
"gold-colored",89.043,2048,23
"demand",89.043,2048,23
"black-skinned",89.042,44521,500
"sign",89.042,8548,96
"77%",89.042,2137,24
"cuts",89.041,39000,438
"fashion",89.041,10774,121
"malbec-led",89.04,2226,25
"ice",89.039,13712,154
"far",89.038,49416,555
"prove",89.038,9260,104
"shock",89.038,6945,78
"marne",89.038,2315,26
"card",89.038,2315,26
"meaty",89.037,106845,1200
"hinting",89.037,26177,294
"slices",89.037,9527,107
"méthode",89.037,2404,27
"dirt",89.036,4986,56
"minimum",89.036,2493,28
"pours",89.034,2582,29
"indicated",89.034,2582,29
"reds",89.033,21368,240
"look",89.032,22080,248
"percentage",89.032,13978,157
"spirit",89.032,11218,126
"purists",89.032,2760,31
"notoriously",89.031,2849,32
"dot",89.031,2849,32
"dosage",89.03,17539,197
"grated",89.03,2938,33
"youll",89.029,88673,996
"nectarines",89.029,9170,103
"discloses",89.029,6054,68
"clingy",89.029,3116,35
"bottom",89.029,3027,34
"finishing",89.028,138883,1560
"warming",89.028,9526,107
"65%",89.027,13354,150
"calls",89.027,13176,148
"quince",89.026,37391,420
"brand",89.026,23592,265
"cobbler",89.026,6766,76
"refreshment",89.025,25372,285
"nuits",89.025,3561,40
"golden",89.024,86353,970
"mineral-textured",89.023,3828,43
"agile",89.021,4184,47
"spry",89.02,17537,197
"cool",89.019,133173,1496
"those",89.019,120086,1349
"consider",89.019,4718,53
"pull",89.018,9792,110
"wonder",89.018,4985,56
"characters",89.017,10415,117
"includes",89.016,49315,554
"proprietary",89.016,5519,62
"delicately",89.014,46020,517
"reserved",89.013,33291,374
"underlying",89.012,46108,518
"pork",89.011,39254,441
"taken",89.011,8100,91
"often",89.01,36227,407
"cookies",89.01,8812,99
"hearty",89.009,67380,757
"exhibits",89.007,24566,276
"interpretation",89.007,12906,145
"spray",89.007,12550,141
"asphalt",89.006,41299,464
"picture",89.006,14953,168
"name",89.005,52691,592
"bark",89.004,23408,263
"majority",89.004,20471,230
"honey",89.001,348528,3916
"gamy",89.0,29103,327
"indian",89.0,21894,246
"mind",89.0,18957,213
"glazed",89.0,5429,61
"enjoying",89.0,4539,51
"nearby",89.0,4005,45
"88-90",89.0,4005,45
"creamsicle",89.0,3916,44
"typicity",89.0,3204,36
"nose:",89.0,3204,36
"lesser",89.0,3026,34
"lemondrop",89.0,2937,33
"arises",89.0,2937,33
"brushy",89.0,2848,32
"palest",89.0,2759,31
"admirably",89.0,2759,31
"gunpowder",89.0,2581,29
"eminently",89.0,2492,28
"stylistically",89.0,2314,26
"champenoise",89.0,2314,26
"wasnt",89.0,2225,25
"demeanor",89.0,2225,25
"ephemeral",89.0,2136,24
"vouvray",89.0,2047,23
"moon",89.0,2047,23
"elaborated",89.0,2047,23
"weighted",89.0,1958,22
"ruby-red",89.0,1869,21
"adige",89.0,1869,21
"superfresh",89.0,1780,20
"shapes",89.0,1780,20
"screaming",89.0,1780,20
"trades",89.0,1691,19
"plusher",89.0,1691,19
"enclave",89.0,1691,19
"whistling",89.0,1602,18
"milbrandt",89.0,1602,18
"benefiting",89.0,1602,18
"sons",89.0,1513,17
"smartly",89.0,1513,17
"moments",89.0,1513,17
"sultanas",89.0,1424,16
"subtlely",89.0,1424,16
"prepared",89.0,1424,16
"four-grape",89.0,1424,16
"roof",89.0,1335,15
"raises",89.0,1335,15
"intervention",89.0,1335,15
"gusto",89.0,1335,15
"crisp-tart",89.0,1335,15
"assertively",89.0,1335,15
"undercurrents",89.0,1246,14
"steakhouse",89.0,1246,14
"remind",89.0,1246,14
"neagra",89.0,1246,14
"jura",89.0,1246,14
"drift",89.0,1246,14
"delectably",89.0,1246,14
"pv",89.0,1157,13
"overboard",89.0,1157,13
"fortunate",89.0,1157,13
"wide-bodied",89.0,1068,12
"rattlesnake",89.0,1068,12
"luckily",89.0,1068,12
"hottest",89.0,1068,12
"hews",89.0,1068,12
"fleshier",89.0,1068,12
"e",89.0,1068,12
"doubting",89.0,1068,12
"clara",89.0,1068,12
"bites",89.0,1068,12
"88—90",89.0,1068,12
"typify",89.0,979,11
"restrains",89.0,979,11
"jazz",89.0,979,11
"internationally",89.0,979,11
"glen",89.0,979,11
"concentrates",89.0,979,11
"col",89.0,979,11
"aloft",89.0,979,11
"tailored",89.0,890,10
"plume",89.0,890,10
"garnacha-led",89.0,890,10
"fournier",89.0,890,10
"crossing",89.0,890,10
"counts",89.0,890,10
"smothering",89.0,801,9
"sliding",89.0,801,9
"drips",89.0,801,9
"capsicum",89.0,801,9
"you",88.997,337923,3797
"having",88.994,29902,336
"undertones",88.994,14862,167
"herbs",88.993,392638,4412
"black-currant",88.993,48234,542
"night",88.992,11035,124
"ripely",88.992,10590,119
"labeled",88.991,20379,229
"paso",88.99,26608,299
"happy",88.99,9166,103
"giving",88.989,177444,1994
"squeezed",88.989,16018,180
"accents",88.988,155818,1751
"juiciness",88.988,36129,406
"scents",88.987,305493,3433
"emphasizing",88.987,7119,80
"warmth",88.986,64960,730
"distinct",88.986,32569,366
"weight",88.984,299786,3369
"stonefruit",88.984,5517,62
"waft",88.983,31856,358
"times",88.983,10589,119
"mesquite",88.982,9699,109
"nicely",88.981,177428,1994
"bracing",88.98,86133,968
"lend",88.979,95475,1073
"introduce",88.979,17351,195
"mushroom",88.978,75275,846
"plum-skin",88.978,8008,90
"carried",88.978,8008,90
"hides",88.978,4093,46
"glimmers",88.978,4093,46
"well-ripened",88.978,4004,45
"intended",88.978,4004,45
"comprised",88.977,11478,129
"filled",88.976,30074,338
"50%",88.974,55609,625
"wall",88.972,9698,109
"palate-cleansing",88.972,3203,36
"north",88.971,27225,306
"rarely",88.971,9342,105
"centered",88.971,3114,35
"malbec",88.97,214062,2406
"bullish",88.97,5961,67
"remainder",88.969,2847,32
"gsm",88.969,2847,32
"think",88.968,19662,221
"casks",88.968,8452,95
"tune",88.968,2758,31
"true",88.967,51512,579
"confirm",88.967,2669,30
"honeyed",88.965,105334,1184
"cloudy",88.965,7651,86
"flavorful",88.964,61296,689
"offsets",88.964,4893,55
"proposition",88.964,2491,28
"portions",88.964,2491,28
"hued",88.964,2491,28
"graced",88.964,2491,28
"fruits",88.963,1199935,13488
"toast",88.963,497479,5592
"yellow-peach",88.963,2402,27
"swath",88.963,2402,27
"pay",88.963,2402,27
"me",88.963,2402,27
"stuffed",88.962,6939,78
"quinine",88.962,4626,52
"vanilla-tinged",88.962,2313,26
"southerly",88.962,2313,26
"malibu",88.962,2313,26
"cartizze",88.962,2313,26
"fragrances",88.961,16013,180
"signs",88.96,17970,202
"hour",88.96,8985,101
"recalling",88.959,10764,121
"sherry",88.959,6583,74
"scorched",88.958,37807,425
"undercurrent",88.958,8540,96
"jicama",88.958,4270,48
"valleys",88.958,2135,24
"tea-leaf",88.958,2135,24
"fashioned",88.958,2135,24
"encouraging",88.958,2135,24
"mixes",88.957,22684,255
"coated",88.957,4181,47
"franca",88.957,4092,46
"fore",88.956,24196,272
"successful",88.956,18058,203
"stone",88.955,303602,3413
"form",88.955,61646,693
"exposure",88.955,5871,66
"chards",88.955,5871,66
"indulgent",88.955,1957,22
"tangerine",88.954,192852,2168
"spanish",88.954,29266,329
"pop",88.953,26241,295
"white-pepper",88.953,3825,43
"bee",88.953,3825,43
"something",88.952,57196,643
"relies",88.952,3736,42
"pumped",88.952,1868,21
"collected",88.952,1868,21
"characterized",88.951,12631,142
"reflect",88.95,8895,100
"courtesy",88.95,5337,60
"competition",88.95,1779,20
"business",88.95,1779,20
"generation",88.949,5248,59
"30%",88.947,67422,758
"leaner",88.947,10051,113
"sibling",88.947,1690,19
"everywhere",88.947,1690,19
"accented",88.946,143826,1617
"brightly",88.945,14587,164
"edges",88.944,55234,621
"barrel-fermented",88.944,23926,269
"silkiness",88.944,9517,107
"appeals",88.944,6404,72
"tempranillo-led",88.944,1601,18
"rib",88.944,1601,18
"groove",88.944,1601,18
"creamy-feeling",88.944,1601,18
"blasting",88.944,1601,18
"added",88.943,42070,473
"cooking",88.943,26594,299
"lees",88.942,52565,591
"older",88.942,16810,189
"swallow",88.942,4625,52
"draped",88.941,3024,34
"braucol",88.941,3024,34
"skurnik",88.941,1512,17
"refermented",88.941,1512,17
"oven-roasted",88.941,1512,17
"meshes",88.941,1512,17
"fallen",88.941,1512,17
"bogged",88.941,1512,17
"relatively",88.94,68039,765
"unfolds",88.94,11829,133
"orange-peel",88.939,5870,66
"nettles",88.939,2935,33
"hawthorn",88.939,2935,33
"cordial",88.939,2935,33
"advanced",88.938,2846,32
"gums",88.938,1423,16
"employed",88.938,1423,16
"criticism",88.938,1423,16
"despite",88.937,132249,1487
"midpalate",88.936,127979,1439
"sharply",88.936,8360,94
"dryness",88.935,60654,682
"rise",88.934,28103,316
"south",88.933,30326,341
"zone",88.933,2668,30
"strives",88.933,1334,15
"october",88.933,1334,15
"latent",88.933,1334,15
"expects",88.933,1334,15
"equation",88.933,1334,15
"auxerrois",88.933,1334,15
"pleases",88.931,2579,29
"bacony",88.931,2579,29
"see",88.93,30414,342
"green-plum",88.93,6314,71
"bone-dry",88.929,27657,311
"grain",88.929,13784,155
"41%",88.929,4980,56
"thankfully",88.929,2490,28
"tightened",88.929,1245,14
"portobello",88.929,1245,14
"dust",88.928,31925,359
"faintest",88.928,6136,69
"splash",88.927,24277,273
"mouthful",88.926,21520,242
"cultivated",88.926,2401,27
"bush",88.926,2401,27
"rooibos",88.923,2312,26
"reference",88.923,2312,26
"infuse",88.923,2312,26
"vessels",88.923,1156,13
"oak-fermented",88.923,1156,13
"livelier",88.923,1156,13
"interference",88.923,1156,13
"fence",88.923,1156,13
"complications",88.923,1156,13
"bruising",88.923,1156,13
"region",88.922,98170,1104
"portugal",88.922,12538,141
"coupled",88.922,5691,64
"redolent",88.921,29255,329
"garnet-colored",88.921,3379,38
"grilled",88.92,182731,2055
"entirely",88.92,86519,973
"appropriately",88.92,8892,100
"freshly",88.918,67311,757
"styled",88.918,20540,231
"scene",88.918,8714,98
"blossomy",88.918,7558,85
"cherries",88.917,378073,4252
"us",88.917,11826,133
"moving",88.917,9603,108
"tangle",88.917,2134,24
"structurally",88.917,2134,24
"resistant",88.917,1067,12
"prop",88.917,1067,12
"pound",88.917,1067,12
"newcomer",88.917,1067,12
"goal",88.917,1067,12
"full-volume",88.917,1067,12
"birch",88.917,1067,12
"139%",88.917,1067,12
"grenache",88.916,188147,2116
"go",88.916,111856,1258
"minerally",88.916,80024,900
"suggesting",88.916,73978,832
"spectrum",88.916,16894,190
"market",88.916,11648,131
"chocolaty",88.915,69709,784
"smith",88.915,19917,224
"deal",88.915,14671,165
"partnered",88.914,3112,35
"highly",88.913,28719,323
"viscous",88.913,26496,298
"iodine",88.913,14315,161
"zins",88.913,6135,69
"brash",88.913,4090,46
"squeaky",88.913,2045,23
"specialty",88.913,2045,23
"clove-like",88.913,2045,23
"peony",88.912,3023,34
"encruzado",88.912,3023,34
"which",88.911,444912,5004
"back",88.911,121275,1364
"suggests",88.911,86244,970
"bought",88.909,3912,44
"martin",88.909,1956,22
